SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22007,2544,0020700008,2007-10-31,CLE vs. DAL,L,36,2,11,0.182,0,2,0.0,6,10,0.6,1,4,5,4,1,0,5,4,10,-12,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700020,2007-11-02,CLE vs. NYK,W,44,13,28,0.464,3,5,0.6,16,22,0.727,3,4,7,7,3,1,3,1,45,4,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700041,2007-11-04,CLE @ PHX,L,43,11,26,0.423,3,5,0.6,2,2,1.0,1,4,5,8,2,4,3,0,27,-18,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700053,2007-11-06,CLE @ GSW,W,42,9,16,0.563,1,2,0.5,5,7,0.714,1,12,13,9,0,3,2,1,24,4,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700060,2007-11-07,CLE @ UTA,L,41,12,27,0.444,1,4,0.25,7,15,0.467,2,13,15,13,3,2,4,4,32,4,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700077,2007-11-09,CLE @ SAC,W,44,10,19,0.526,0,2,0.0,6,8,0.75,0,4,4,4,1,1,1,1,26,-1,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700092,2007-11-11,CLE @ LAC,W,36,9,21,0.429,0,2,0.0,4,8,0.5,1,4,5,8,6,1,5,3,22,11,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700094,2007-11-12,CLE @ DEN,L,34,9,16,0.563,1,3,0.333,8,14,0.571,0,1,1,4,2,0,4,3,27,-13,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700107,2007-11-14,CLE vs. ORL,L,47,15,27,0.556,2,4,0.5,7,9,0.778,4,9,13,14,0,2,4,1,39,2,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700124,2007-11-16,CLE vs. UTA,W,40,13,27,0.481,1,3,0.333,13,15,0.867,2,8,10,9,0,3,5,3,40,13,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700151,2007-11-20,CLE vs. MIL,L,44,11,22,0.5,1,7,0.143,11,12,0.917,0,7,7,7,1,1,3,4,34,-2,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700165,2007-11-21,CLE @ MIN,W,39,17,26,0.654,6,10,0.6,5,8,0.625,2,6,8,5,3,2,3,2,45,14,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700183,2007-11-24,CLE vs. TOR,W,45,14,29,0.483,2,8,0.25,7,8,0.875,3,9,12,12,3,1,4,3,37,7,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700193,2007-11-25,CLE @ IND,W,36,10,21,0.476,1,6,0.167,9,15,0.6,3,8,11,10,4,1,2,1,30,9,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700204,2007-11-27,CLE vs. BOS,W,46,11,25,0.44,2,8,0.25,14,15,0.933,0,4,4,13,2,2,3,2,38,14,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700214,2007-11-28,CLE @ DET,L,20,5,11,0.455,0,2,0.0,5,9,0.556,0,1,1,3,0,0,0,1,15,-2,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700308,2007-12-11,CLE vs. IND,W,23,5,9,0.556,0,1,0.0,7,10,0.7,1,2,3,5,1,1,4,2,17,27,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700331,2007-12-14,CLE @ NJN,L,41,12,25,0.48,3,9,0.333,2,3,0.667,0,6,6,8,2,0,6,3,29,6,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700344,2007-12-15,CLE vs. PHI,L,42,10,18,0.556,0,1,0.0,1,1,1.0,0,6,6,6,0,1,3,1,21,5,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700355,2007-12-17,CLE vs. MIL,W,50,10,25,0.4,0,5,0.0,11,13,0.846,1,7,8,5,1,0,2,3,31,6,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700370,2007-12-19,CLE @ NYK,L,37,12,21,0.571,3,6,0.5,5,6,0.833,1,7,8,6,6,0,4,1,32,-9,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700379,2007-12-20,CLE vs. LAL,W,38,12,29,0.414,0,3,0.0,9,11,0.818,4,6,10,5,1,1,3,3,33,-7,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700402,2007-12-23,CLE vs. GSW,L,41,8,20,0.4,0,2,0.0,9,13,0.692,2,3,5,8,1,1,3,2,25,-12,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700405,2007-12-25,CLE vs. MIA,W,39,9,19,0.474,0,3,0.0,7,11,0.636,0,6,6,12,1,1,2,3,25,18,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700419,2007-12-27,CLE @ DAL,W,36,9,21,0.429,1,4,0.25,5,10,0.5,4,4,8,7,3,0,3,5,24,5,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700438,2007-12-29,CLE @ NOH,L,42,8,21,0.381,1,4,0.25,4,6,0.667,2,3,5,6,1,0,4,1,21,-18,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700460,2008-01-02,CLE vs. ATL,W,40,13,22,0.591,1,3,0.333,9,11,0.818,1,4,5,6,2,1,2,1,36,7,0,2007-08,Regular Season,2544,LeBron James
22007,2544,0020700477,2008-01-04,CLE vs. SAC,W,45,7,18,0.389,1,6,0.167,9,12,0.75,1,7,8,10,5,1,3,1,24,7,0,2007-08,Regular Season,2544,LeBron James
