SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22003,2544,0020300014,2003-10-29,CLE @ SAC,L,42,12,20,0.6,0,2,0.0,1,3,0.333,2,4,6,9,4,0,2,3,25,-9,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300018,2003-10-30,CLE @ PHX,L,41,8,17,0.471,1,5,0.2,4,7,0.571,2,10,12,8,1,0,7,1,21,-3,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300038,2003-11-01,CLE @ POR,L,39,3,12,0.25,0,1,0.0,2,2,1.0,0,4,4,6,2,0,2,3,8,-21,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300057,2003-11-05,CLE vs. DEN,L,41,3,11,0.273,0,2,0.0,1,1,1.0,2,9,11,7,2,3,2,1,7,-3,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300068,2003-11-07,CLE @ IND,L,44,8,18,0.444,1,2,0.5,6,7,0.857,0,5,5,3,0,0,7,2,23,-7,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300078,2003-11-08,CLE vs. WAS,W,45,8,19,0.421,0,0,0.0,1,4,0.25,5,3,8,9,1,1,2,1,17,14,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300090,2003-11-10,CLE vs. NYK,W,34,7,12,0.583,3,3,1.0,0,0,0.0,1,4,5,4,1,1,2,0,17,20,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300106,2003-11-12,CLE @ MIA,L,42,6,15,0.4,2,5,0.4,4,6,0.667,1,2,3,7,2,1,4,3,18,-4,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300115,2003-11-14,CLE @ BOS,L,35,3,12,0.25,2,4,0.5,2,4,0.5,1,4,5,3,0,0,4,3,10,-1,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300130,2003-11-15,CLE vs. PHI,W,47,10,19,0.526,0,1,0.0,2,4,0.5,0,5,5,8,1,2,5,2,22,8,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300144,2003-11-18,CLE vs. LAC,W,39,6,16,0.375,0,2,0.0,2,4,0.5,2,5,7,8,0,1,3,2,14,1,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300153,2003-11-19,CLE @ WAS,L,39,10,18,0.556,2,4,0.5,6,8,0.75,2,5,7,8,2,1,4,2,28,-5,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300166,2003-11-21,CLE vs. MIN,L,35,8,19,0.421,0,2,0.0,3,3,1.0,2,7,9,2,1,0,1,4,19,-3,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300177,2003-11-22,CLE @ ATL,L,42,3,16,0.188,0,1,0.0,9,10,0.9,2,4,6,4,2,1,3,1,15,-6,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300203,2003-11-26,CLE @ NOH,L,39,5,17,0.294,1,4,0.25,4,4,1.0,2,6,8,9,0,0,4,1,15,-13,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300214,2003-11-28,CLE @ DET,L,36,2,8,0.25,0,2,0.0,2,3,0.667,0,2,2,7,0,0,4,3,6,-10,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300227,2003-11-29,CLE vs. MEM,L,55,14,28,0.5,3,6,0.5,2,3,0.667,2,14,16,7,1,1,8,1,33,-10,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300245,2003-12-02,CLE @ DEN,L,33,6,19,0.316,2,3,0.667,5,7,0.714,3,3,6,5,2,0,2,4,19,-12,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300255,2003-12-03,CLE @ LAC,L,34,2,13,0.154,0,3,0.0,0,0,0.0,4,2,6,8,2,0,5,2,4,3,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300273,2003-12-06,CLE vs. ATL,W,36,4,12,0.333,0,2,0.0,0,0,0.0,1,5,6,5,2,1,3,2,8,-5,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300289,2003-12-09,CLE vs. TOR,L,37,7,16,0.438,0,0,0.0,4,4,1.0,0,5,5,3,1,0,2,2,18,-2,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300306,2003-12-11,CLE vs. DET,W,43,8,21,0.381,1,3,0.333,6,8,0.75,1,2,3,9,1,1,4,3,23,9,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300322,2003-12-13,CLE vs. BOS,L,45,10,20,0.5,1,5,0.2,16,18,0.889,1,2,3,4,0,0,2,2,37,-2,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300334,2003-12-15,CLE @ IND,L,44,10,16,0.625,0,3,0.0,7,8,0.875,1,3,4,6,3,3,6,1,27,-12,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300348,2003-12-17,CLE vs. HOU,L,36,7,19,0.368,2,4,0.5,1,2,0.5,0,1,1,3,0,0,2,2,17,-9,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300360,2003-12-19,CLE @ PHI,W,42,14,24,0.583,5,7,0.714,3,3,1.0,1,3,4,5,4,0,4,1,36,9,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300374,2003-12-20,CLE @ CHI,W,42,11,22,0.5,0,5,0.0,10,12,0.833,1,5,6,10,2,2,4,2,32,9,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300389,2003-12-23,CLE vs. NOH,W,39,7,22,0.318,1,6,0.167,7,8,0.875,2,4,6,2,6,1,5,1,22,9,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300401,2003-12-25,CLE @ ORL,L,47,13,28,0.464,4,10,0.4,4,5,0.8,1,1,2,6,2,1,8,0,34,-9,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300405,2003-12-26,CLE vs. CHI,L,34,7,24,0.292,1,4,0.25,3,4,0.75,1,2,3,4,1,2,5,0,18,-12,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300424,2003-12-28,CLE vs. POR,W,39,15,23,0.652,0,2,0.0,2,2,1.0,3,7,10,9,3,0,5,1,32,11,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300440,2003-12-30,CLE vs. IND,L,38,9,20,0.45,0,4,0.0,4,6,0.667,2,8,10,4,0,0,4,2,22,-2,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300455,2004-01-02,CLE @ NJN,L,37,6,19,0.316,0,4,0.0,2,4,0.5,1,3,4,9,1,0,3,2,14,-14,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300485,2004-01-06,CLE vs. NYK,W,41,6,17,0.353,0,2,0.0,2,2,1.0,0,4,4,10,1,1,4,1,14,10,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300494,2004-01-07,CLE @ TOR,L,38,10,23,0.435,0,3,0.0,1,2,0.5,0,2,2,5,0,0,2,3,21,-2,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300508,2004-01-09,CLE @ BOS,L,43,7,19,0.368,0,3,0.0,5,7,0.714,0,3,3,6,3,0,5,1,19,-30,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300531,2004-01-12,CLE @ LAL,L,37,6,20,0.3,0,3,0.0,4,5,0.8,1,4,5,7,1,1,6,3,16,3,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300541,2004-01-13,CLE @ SEA,W,44,11,26,0.423,0,1,0.0,5,6,0.833,4,5,9,9,2,0,4,2,27,11,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300556,2004-01-15,CLE @ GSW,L,43,8,21,0.381,2,5,0.4,11,13,0.846,2,4,6,6,3,0,2,0,29,-14,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300573,2004-01-17,CLE @ UTA,W,45,12,28,0.429,2,4,0.5,3,5,0.6,1,6,7,2,2,1,4,2,29,8,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300635,2004-01-26,CLE vs. ORL,W,30,7,19,0.368,1,2,0.5,1,2,0.5,0,5,5,3,0,2,3,4,16,-10,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300647,2004-01-28,CLE vs. MIA,W,44,10,25,0.4,0,1,0.0,7,10,0.7,0,5,5,4,2,1,1,1,27,2,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300666,2004-01-30,CLE @ MIL,L,37,7,25,0.28,1,6,0.167,5,8,0.625,2,6,8,3,1,0,5,5,20,3,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300680,2004-02-01,CLE @ WAS,W,43,14,27,0.519,1,2,0.5,9,11,0.818,3,3,6,4,0,2,6,4,38,0,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300694,2004-02-03,CLE @ DET,W,38,5,19,0.263,0,1,0.0,2,2,1.0,1,3,4,6,2,0,1,2,12,-1,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300703,2004-02-04,CLE vs. LAL,L,43,12,26,0.462,4,4,1.0,4,5,0.8,0,4,4,4,0,0,0,0,32,-2,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300715,2004-02-06,CLE @ MIN,L,44,6,18,0.333,1,3,0.333,1,4,0.25,1,8,9,5,0,0,3,2,14,-16,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300725,2004-02-07,CLE vs. WAS,L,34,6,16,0.375,0,0,0.0,2,2,1.0,0,0,0,6,4,1,3,2,14,-24,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300737,2004-02-09,CLE vs. BOS,W,43,9,25,0.36,1,6,0.167,5,6,0.833,0,6,6,3,2,1,1,3,24,19,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300752,2004-02-11,CLE vs. NJN,L,29,2,13,0.154,0,1,0.0,5,5,1.0,1,1,2,5,1,0,5,0,9,-12,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300775,2004-02-18,CLE vs. DAL,L,34,6,12,0.5,0,0,0.0,4,4,1.0,2,2,4,9,0,1,5,2,16,-15,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300789,2004-02-20,CLE vs. SAS,W,39,14,23,0.609,0,0,0.0,4,4,1.0,2,9,11,2,2,1,2,0,32,3,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300802,2004-02-22,CLE @ NYK,W,44,7,20,0.35,0,0,0.0,8,12,0.667,1,4,5,3,1,0,1,2,22,11,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300812,2004-02-23,CLE vs. NOH,W,36,7,16,0.438,1,5,0.2,6,6,1.0,0,4,4,6,2,5,1,3,21,4,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300830,2004-02-25,CLE @ HOU,L,39,5,18,0.278,0,2,0.0,1,3,0.333,2,5,7,5,2,1,2,1,11,-5,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300838,2004-02-27,CLE @ ORL,W,49,11,19,0.579,1,1,1.0,7,8,0.875,1,10,11,3,3,1,5,1,30,7,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300865,2004-03-01,CLE @ CHI,L,41,7,17,0.412,0,2,0.0,4,6,0.667,0,3,3,3,4,1,3,2,18,-4,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300876,2004-03-03,CLE vs. ATL,W,28,9,17,0.529,1,2,0.5,5,6,0.833,1,6,7,3,1,1,1,0,24,22,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300890,2004-03-05,CLE @ NOH,W,37,7,17,0.412,2,2,1.0,3,4,0.75,2,4,6,4,2,0,4,5,19,1,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300899,2004-03-06,CLE vs. MIL,W,43,11,24,0.458,0,3,0.0,2,3,0.667,2,5,7,10,4,1,2,3,24,9,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300914,2004-03-08,CLE @ ATL,W,45,11,23,0.478,1,4,0.25,11,13,0.846,2,4,6,7,1,0,2,1,34,11,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300928,2004-03-10,CLE @ TOR,W,34,4,13,0.308,0,0,0.0,6,7,0.857,1,2,3,4,1,0,2,2,14,16,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300957,2004-03-14,CLE vs. IND,W,44,12,22,0.545,0,2,0.0,2,4,0.5,0,3,3,4,3,1,4,3,26,5,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300967,2004-03-16,CLE vs. CHI,W,32,5,16,0.313,2,3,0.667,5,8,0.625,3,2,5,8,0,5,4,1,17,24,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020300989,2004-03-19,CLE vs. UTA,L,33,4,14,0.286,0,2,0.0,6,10,0.6,0,0,0,7,2,1,2,3,14,-2,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301008,2004-03-21,CLE vs. DET,L,36,5,17,0.294,1,4,0.25,4,5,0.8,2,5,7,3,0,2,4,4,15,-21,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301018,2004-03-23,CLE vs. PHX,L,42,8,21,0.381,2,5,0.4,7,9,0.778,1,1,2,6,3,1,5,0,25,-12,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301038,2004-03-26,CLE @ PHI,L,33,5,13,0.385,1,2,0.5,5,9,0.556,2,1,3,7,0,1,5,1,16,-24,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301050,2004-03-27,CLE vs. NJN,W,43,15,29,0.517,1,2,0.5,10,10,1.0,2,4,6,13,3,0,2,1,41,10,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301069,2004-03-29,CLE @ SAS,L,32,9,20,0.45,0,1,0.0,0,0,0.0,0,2,2,4,0,1,2,0,18,-14,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301073,2004-03-30,CLE @ DAL,L,42,13,22,0.591,0,2,0.0,2,4,0.5,1,4,5,6,4,0,3,2,28,-10,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301097,2004-04-02,CLE @ MIL,L,36,9,19,0.474,0,0,0.0,2,2,1.0,0,7,7,7,5,0,5,3,20,-13,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301102,2004-04-03,CLE vs. GSW,L,46,12,28,0.429,3,5,0.6,7,11,0.636,3,5,8,10,1,1,3,1,34,-3,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301115,2004-04-06,CLE vs. TOR,L,46,5,17,0.294,0,0,0.0,11,14,0.786,1,5,6,4,3,0,3,2,21,2,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301128,2004-04-07,CLE @ MEM,L,36,4,11,0.364,0,0,0.0,6,7,0.857,0,3,3,5,3,0,2,4,14,-11,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301137,2004-04-09,CLE @ MIA,L,42,6,14,0.429,1,1,1.0,11,15,0.733,1,6,7,8,1,0,8,2,24,-16,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301151,2004-04-10,CLE vs. MIA,W,32,4,11,0.364,0,2,0.0,2,5,0.4,1,2,3,11,0,0,2,3,10,14,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301162,2004-04-12,CLE vs. MIL,W,45,9,20,0.45,1,4,0.25,8,11,0.727,1,6,7,9,2,0,1,1,27,11,0,2003-04,Regular Season,2544,LeBron James
22003,2544,0020301179,2004-04-14,CLE @ NYK,W,35,8,17,0.471,0,3,0.0,1,1,1.0,0,1,1,5,3,0,5,1,17,-6,0,2003-04,Regular Season,2544,LeBron James
22003,977,0020300037,2003-11-01,LAL @ PHX,W,37,4,12,0.333,0,1,0.0,7,10,0.7,0,6,6,4,0,1,2,4,15,-3,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300040,2003-11-02,LAL vs. GSW,W,35,7,12,0.583,2,3,0.667,5,5,1.0,1,3,4,2,5,1,4,4,21,13,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300050,2003-11-04,LAL @ MIL,W,40,10,22,0.455,2,4,0.5,9,10,0.9,5,2,7,8,1,2,0,3,31,7,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300064,2003-11-06,LAL @ SAS,W,49,16,29,0.552,1,4,0.25,4,5,0.8,2,3,5,2,4,0,2,4,37,4,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300070,2003-11-07,LAL @ NOH,L,37,4,14,0.286,0,4,0.0,3,4,0.75,1,3,4,3,1,0,3,3,11,-24,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300091,2003-11-10,LAL @ MEM,L,33,5,15,0.333,0,2,0.0,9,10,0.9,1,3,4,5,2,0,6,4,19,-3,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300111,2003-11-12,LAL vs. TOR,W,37,5,11,0.455,1,1,1.0,8,10,0.8,1,2,3,4,1,0,3,4,19,1,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300124,2003-11-14,LAL vs. DET,W,37,6,11,0.545,0,0,0.0,4,4,1.0,0,3,3,1,3,2,1,5,16,12,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300138,2003-11-16,LAL vs. MIA,W,34,6,10,0.6,0,1,0.0,15,16,0.938,1,3,4,6,2,0,3,2,27,21,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300146,2003-11-18,LAL @ DET,L,41,4,14,0.286,0,2,0.0,11,11,1.0,1,1,2,3,0,0,0,3,19,-9,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300156,2003-11-19,LAL @ NYK,W,34,7,13,0.538,0,0,0.0,7,9,0.778,1,1,2,4,1,0,1,5,21,17,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300172,2003-11-21,LAL vs. CHI,W,37,10,19,0.526,0,1,0.0,8,11,0.727,1,4,5,4,3,1,3,4,28,16,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300187,2003-11-23,LAL vs. MEM,W,32,8,16,0.5,1,2,0.5,11,12,0.917,1,2,3,3,4,0,1,2,28,20,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300208,2003-11-26,LAL vs. WAS,W,25,7,13,0.538,1,3,0.333,7,7,1.0,0,4,4,4,2,0,3,3,22,15,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300222,2003-11-28,LAL vs. SAS,W,31,6,13,0.462,1,2,0.5,4,6,0.667,0,2,2,2,1,0,0,0,17,24,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300234,2003-11-30,LAL vs. IND,W,36,4,10,0.4,1,2,0.5,3,4,0.75,1,1,2,7,1,0,2,3,12,24,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300251,2003-12-03,LAL @ SAS,W,46,6,20,0.3,1,4,0.25,8,9,0.889,1,5,6,3,2,0,4,4,21,8,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300258,2003-12-04,LAL @ DAL,W,38,9,23,0.391,2,5,0.4,12,12,1.0,4,2,6,3,1,0,3,3,32,10,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300284,2003-12-07,LAL vs. UTA,W,40,4,17,0.235,2,4,0.5,9,10,0.9,2,4,6,3,1,0,2,4,19,3,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300298,2003-12-09,LAL vs. NYK,W,41,7,16,0.438,0,0,0.0,7,8,0.875,3,3,6,9,1,0,3,1,21,10,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300318,2003-12-12,LAL vs. DAL,L,41,4,18,0.222,0,3,0.0,7,7,1.0,1,6,7,6,1,1,1,5,15,-19,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300326,2003-12-13,LAL @ POR,L,42,10,18,0.556,1,3,0.333,14,15,0.933,3,2,5,6,0,1,2,2,35,0,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300369,2003-12-19,LAL vs. DEN,W,31,5,14,0.357,0,2,0.0,3,4,0.75,1,2,3,5,0,0,4,1,13,-4,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300385,2003-12-21,LAL vs. PHX,W,39,4,12,0.333,0,2,0.0,2,3,0.667,3,3,6,4,0,0,4,0,10,5,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300400,2003-12-23,LAL @ GSW,L,38,8,16,0.5,3,5,0.6,4,5,0.8,1,4,5,2,1,1,4,5,23,-7,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300403,2003-12-25,LAL vs. HOU,L,43,9,26,0.346,1,2,0.5,4,6,0.667,3,5,8,6,2,0,3,4,23,-7,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300429,2003-12-28,LAL vs. BOS,W,36,5,18,0.278,1,6,0.167,0,0,0.0,2,3,5,6,2,0,6,2,11,15,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300462,2004-01-02,LAL @ SEA,L,36,11,25,0.44,3,4,0.75,7,8,0.875,2,4,6,6,4,0,3,4,32,4,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300476,2004-01-04,LAL @ LAC,L,40,14,27,0.519,4,7,0.571,12,15,0.8,4,6,10,3,4,0,2,2,44,-7,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300488,2004-01-06,LAL @ MIN,L,38,8,17,0.471,0,1,0.0,4,6,0.667,2,8,10,4,0,0,1,4,20,-17,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300500,2004-01-07,LAL @ DEN,L,38,8,23,0.348,1,4,0.25,10,11,0.909,1,2,3,6,6,0,5,3,27,-15,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300515,2004-01-09,LAL vs. ATL,W,31,9,19,0.474,2,5,0.4,6,6,1.0,0,5,5,6,3,0,1,2,26,33,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300531,2004-01-12,LAL vs. CLE,W,17,3,8,0.375,0,0,0.0,4,5,0.8,1,4,5,2,1,0,0,1,10,2,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300625,2004-01-24,LAL @ UTA,W,38,6,15,0.4,1,4,0.25,8,13,0.615,2,2,4,6,0,0,0,0,21,15,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300655,2004-01-28,LAL vs. SEA,W,29,6,15,0.4,0,3,0.0,2,3,0.667,0,2,2,3,0,0,3,0,14,2,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300756,2004-02-11,LAL @ HOU,L,36,4,7,0.571,4,5,0.8,2,2,1.0,0,1,1,3,0,0,1,3,14,-7,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300772,2004-02-17,LAL vs. POR,W,42,13,23,0.565,0,1,0.0,5,9,0.556,4,4,8,10,2,0,4,1,31,11,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300780,2004-02-18,LAL @ GSW,W,44,11,16,0.688,0,1,0.0,13,15,0.867,2,4,6,8,2,1,5,1,35,-1,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300793,2004-02-20,LAL vs. PHI,W,30,10,18,0.556,1,2,0.5,7,8,0.875,4,1,5,7,3,2,2,4,28,15,0,2003-04,Regular Season,977,Kobe Bryant
22003,977,0020300808,2004-02-22,LAL @ PHX,W,42,15,25,0.6,2,5,0.4,8,8,1.0,4,3,7,5,3,0,2,0,40,9,0,2003-04,Regular Season,977,Kobe Bryant
