SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22011,202696,21100031,2011-12-28,PHI @ PHX,W,20,3,6,0.5,0,0,0.0,0,0,0.0,3,3,6,2,1,0,2,2,6,-3,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100048,2011-12-30,PHI @ UTA,L,9,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,1,0,0,1,0,-3,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100056,2011-12-31,PHI @ GSW,W,7,2,2,1.0,1,1,1.0,0,0,0.0,0,2,2,2,1,1,0,2,5,5,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100099,2012-01-06,PHI vs. DET,W,3,3,3,1.0,0,0,0.0,0,0,0.0,1,1,2,0,0,0,1,1,6,3,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100114,2012-01-07,PHI vs. TOR,W,20,4,7,0.571,0,0,0.0,1,2,0.5,6,4,10,2,1,2,0,3,9,17,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100127,2012-01-09,PHI vs. IND,W,17,5,8,0.625,1,1,1.0,0,0,0.0,2,6,8,1,0,0,0,4,11,15,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100132,2012-01-10,PHI vs. SAC,W,19,2,3,0.667,0,0,0.0,0,0,0.0,1,4,5,1,1,0,2,5,4,22,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100145,2012-01-11,PHI @ NYK,L,12,0,2,0.0,0,0,0.0,0,0,0.0,2,3,5,0,0,1,1,2,0,-19,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100160,2012-01-13,PHI vs. WAS,W,17,1,2,0.5,0,0,0.0,0,0,0.0,0,1,1,0,0,1,0,2,2,7,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100170,2012-01-14,PHI @ WAS,W,10,1,4,0.25,0,0,0.0,0,2,0.0,2,2,4,1,0,1,0,1,2,12,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100202,2012-01-18,PHI vs. DEN,L,12,1,2,0.5,0,0,0.0,0,0,0.0,0,3,3,0,0,2,0,4,2,2,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100217,2012-01-20,PHI vs. ATL,W,29,4,11,0.364,0,2,0.0,0,0,0.0,2,5,7,1,1,1,1,1,8,11,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100229,2012-01-21,PHI @ MIA,L,24,6,9,0.667,0,0,0.0,1,3,0.333,4,5,9,1,0,0,0,1,13,-7,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100333,2012-02-03,PHI vs. MIA,L,5,0,1,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,0,-3,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100343,2012-02-04,PHI @ ATL,W,21,7,10,0.7,1,1,1.0,0,0,0.0,0,3,3,0,0,0,0,2,15,3,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100357,2012-02-06,PHI vs. LAL,W,25,4,10,0.4,0,1,0.0,0,0,0.0,1,5,6,1,0,2,0,0,8,9,0,2011-12,Regular Season,202696,Nikola Vučević
22011,202696,21100374,2012-02-08,PHI vs. SAS,L,15,0,4,0.0,0,0,0.0,0,0,0.0,2,4,6,0,0,0,4,3,0,-9,0,2011-12,Regular Season,202696,Nikola Vučević
