SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME,DATASET_CREATED
22012,2544,21201140,2013-04-06,MIA vs. PHI,W,30,12,17,0.706,1,2,0.5,2,2,1.0,0,4,4,5,1,0,1,1,27,22,1,2012-13,Regular Season,2544,LeBron James,2025-10-19 21:10:55
22012,2544,21201157,2013-04-09,MIA vs. MIL,W,30,11,16,0.688,0,1,0.0,6,6,1.0,1,6,7,7,2,1,3,0,28,21,1,2012-13,Regular Season,2544,LeBron James,2025-10-19 21:10:55
22012,2544,21201180,2013-04-12,MIA vs. BOS,W,29,8,10,0.8,0,0,0.0,4,4,1.0,1,5,6,9,0,0,1,1,20,6,1,2012-13,Regular Season,2544,LeBron James,2025-10-19 21:10:55
22012,2544,21201194,2013-04-14,MIA vs. CHI,W,35,7,12,0.583,1,1,1.0,9,12,0.75,0,7,7,6,1,0,3,2,24,8,1,2012-13,Regular Season,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200101,2013-04-21,MIA vs. MIL,W,35,9,11,0.818,1,2,0.5,8,11,0.727,2,8,10,8,0,0,5,2,27,14,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200102,2013-04-23,MIA vs. MIL,W,39,6,14,0.429,0,3,0.0,7,8,0.875,1,7,8,6,1,0,4,2,19,13,0,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200103,2013-04-25,MIA @ MIL,W,33,9,14,0.643,2,4,0.5,2,4,0.5,0,5,5,6,0,0,5,2,22,14,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200104,2013-04-28,MIA @ MIL,W,41,13,20,0.65,0,2,0.0,4,7,0.571,2,6,8,7,3,1,5,3,30,16,0,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200201,2013-05-06,MIA vs. CHI,L,44,8,17,0.471,1,3,0.333,7,9,0.778,2,6,8,7,2,1,2,2,24,-15,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
42012,2544,41200202,2013-05-08,MIA vs. CHI,W,32,7,12,0.583,1,3,0.333,4,8,0.5,0,5,5,9,3,0,3,1,19,25,1,2012-13,Playoffs,2544,LeBron James,2025-10-19 21:10:55
