SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,SEASON_TYPE,PLAYER_ID,PLAYER_NAME
22017,2544,0021700001,2017-10-17,CLE vs. BOS,W,41,12,19,0.632,1,5,0.2,4,4,1.0,1,15,16,9,0,2,4,3,29,3,1,2017-18,Regular Season,2544,LeBron James
22017,2544,0021700021,2017-10-20,CLE @ MIL,W,37,10,16,0.625,2,4,0.5,2,2,1.0,1,4,5,8,1,1,5,2,24,13,1,2017-18,Regular Season,2544,LeBron James
22017,2544,0021700028,2017-10-21,CLE vs. ORL,L,31,8,15,0.533,1,3,0.333,5,6,0.833,0,4,4,2,1,1,1,0,22,-31,1,2017-18,Regular Season,2544,LeBron James
22017,2544,0021700049,2017-10-24,CLE vs. CHI,W,37,13,20,0.65,4,6,0.667,4,5,0.8,0,2,2,13,3,0,2,1,34,7,2,2017-18,Regular Season,2544,LeBron James
22017,2544,0021700058,2017-10-25,CLE @ BKN,L,41,12,20,0.6,1,2,0.5,4,8,0.5,1,9,10,13,0,4,8,1,29,-2,1,2017-18,Regular Season,2544,LeBron James
22017,2544,0021700077,2017-10-28,CLE @ NOP,L,31,6,11,0.545,1,3,0.333,5,6,0.833,0,3,3,8,0,0,4,3,18,-10,1,2017-18,Regular Season,2544,LeBron James
22017,2544,0021700090,2017-10-29,CLE vs. NYK,L,39,7,15,0.467,1,4,0.25,1,1,1.0,1,9,10,7,2,0,4,2,16,-17,1,2017-18,Regular Season,2544,LeBron James
22017,2544,0021700106,2017-11-01,CLE vs. IND,L,37,14,22,0.636,1,5,0.2,4,5,0.8,1,5,6,11,2,1,8,1,33,-12,2,2017-18,Regular Season,2544,LeBron James
22017,2544,0021700122,2017-11-03,CLE @ WAS,W,43,23,34,0.676,2,4,0.5,9,9,1.0,5,6,11,7,3,2,3,2,57,6,1,2017-18,Regular Season,2544,LeBron James
22017,2544,0021700136,2017-11-05,CLE vs. ATL,L,41,10,17,0.588,0,3,0.0,6,6,1.0,2,3,5,13,1,2,6,4,26,-4,1,2017-18,Regular Season,2544,LeBron James
22017,2544,0021700149,2017-11-07,CLE vs. MIL,W,37,10,20,0.5,2,4,0.5,8,10,0.8,1,7,8,9,3,0,1,1,30,6,1,2017-18,Regular Season,2544,LeBron James
22017,2544,0021700166,2017-11-09,CLE @ HOU,L,40,15,24,0.625,1,4,0.25,2,3,0.667,0,4,4,7,1,1,8,4,33,5,1,2017-18,Regular Season,2544,LeBron James
